,title text,label
0,Pemakaian Masker Menyebabkan Penyakit Legionnaires,false
1,Instruksi Gubernur Jateng tentang penilangan  bagi yg tidak bermasker di muka umum Rp.150.000 menggunakan e-tilang Via apps PIKOBAR,false
2,Foto Jim Rohn: Jokowi adalah presiden terbaik dlm sejarah bangsa Indonesia,false
3,"ini bukan politik, tapi kenyataan Pak Jokowi berhasil memulangkan 11,000 Triliun uang negara dari Swiss.",false
4,Foto Kadrun kalo lihat foto ini panas dingin,false
5,event promo smartphone JNE 2020 spesial di bulan juni,false
6,MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK MENGUASAI NEGRI INI!,false
7,Foto Presiden Italia menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari,false
8,"Kapolres Timor Tengah Utara , Nusa Tenggara Timur  Beri Klarifikasi Terkait Video Polisi Diamkan Korban Kecelakaan",false
9,Video Polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki,false
10,"Akhirnya, Jokowi bersedia mengundurkan diri",false
11,Info Jalur Rawan Begal dan Himbauan Untuk Tidak Keluar Malam Oleh Kapolres Cianjur,false
12,Dirut PT Agung Podomoro Land Cosmas Batubara Meninggal Dunia,false
13,SBY Sudah Telepon Moeldoko Suruh Jokowi Akui Kekalahan,false
14,Foto Anak Rohingya Disiksa Komunis,false
15,orang Cina punya KTP Cilacap atas nama Karsono,false
16,Fadli Zon : Semua Warga Indonesia Yang Tidak Pilih Prabowo Di Pilpres 2019 Akan Kami Usir Dari Indonesia,false
17,Pesan Berantai Undian Berhadiah Dari Kementerian Tenaga Kerja Untuk Pekerja Migran Indonesia  di Hongkong,false
18,Indonesia di Penuhi PKI,false
20,Demo dan Konflik antara Ojek Online dengan Angkutan Umum di Bandung,false
23,: Hati -hati Panggilan Telpon Nomor Tidak Dikenal !!,false
24,Larangan anti-miras di Minimarket ditiadakan oleh rezim Jokowi paska Gobel,false
25,Corona adalah hoaks,false
26,Kapal Kargo Pengangkut Kadrun tenggelam di Laut China Selatan,false
27,Foto Gubernur Anies sedang Makan dengan Sekumpulan Orang Jawa Tulen,false
28,Mulan Jameela Undur Diri dari DPR RI,false
29,"Video FKPPI dari Bandung sudah berkumpul di Monas, siap siaga apabila RUU HIP di-syahkan oleh DPR",false
30,30 Pembantu Baru Positif Corona di Penjaringan,false
31,Foto SUDJIATMI DISIKSA DI ALAM BARZAKH,false
32,Berdamai dengan Corona yang Dimaksud Jokowi adalah Pemerintah Telah Kalah dan Menyerah,false
33,Penerima Stiker pada Pesan Whatsapp Dikenakan Sejumlah Biaya,false
34,Foto  Mahfud MD Mengaku Mirip Ashraf Ingin Nikahi BCL,false
35,"Telah diculik Umur anak 5 bulan, Kejadian d Angkot lebak bulus parung Ibunda si bayi dihipnotis",false
36,Virus Corona Sudah Sampai di Apartemen Taman Anggrek,false
37,Presiden Cina Xi Jinping Mengunjungi Masjid dan Meminta Umat Islam Berdoa Untuk Negeri yang Sedang Dilanda Krisis,false
38,Pesan Berantai Biaya Tilang Baru,false
39,Video Jokowi Mulai Pucat SBY Ungkap Pelaku Korupsi,false
40,All Jakarta Water Park,false
41,Pergantian Kartu Keluarga Warga DKI Jakarta,false
42,usus ibunya dimakan oleh Bayi ini,false
43,Foto awan mengerikan di Jepang,false
44,Narasi Presiden Korea Utara menghukum pejabatnya yang korupsi,false
45,Almarhum Habibie di Formasi Jas Merah Mob UMM,false
46,Petugas Tewas Tersetrum Ketika Melakukan Perbaikan Listrik,false
47,TV Luar Negeri Sudah Memberitakan Prabowo The Next Presiden,false
48,Ketua KPU Umroh Bareng Jokowi,false
49,Tiket Promo Kereta Api Hut BUMN 21,false
50,Simulasi orang Gila di bawa ke TPS saat pemilu nanti,false
51,BROADCAST WHATSAPP INFO TEST SELEKSI GTT/PTT,false
52,Puan Maharani Buka Posko Logistik di Reuni 212,false
53,Penerbangan Pesawat Hercules Gratis Ke Palu Untuk Keluarga Korban Gempa dan Tsunami,false
54,Capt. Pribadi adalah pengemudi pesawat yang mengijinkan Hj. Neno Warisman,false
56,Dua Alquran Yang diklaim Sebagai Al-Quran Palsu Kembali Beredar,false
57,Yel-yel Kecebong Yang Merencanakan Untuk Menyusup di CFD,false
60,"Kecam Pernyataan Said Aqil, Neno Warisman: Kami Para Ibu Tidak Terima!",false
61,Memerangi Allah Of Kung Fu,false
62,Permen Susu Mengandung Narkoba,false
63,Konser Anies - Sandi No 3 Menang Telak,false
64,Poster Aksi Damai Bela Islam 5 Yang Mencantumkan Nama dan Foto Gatot Nurmantyo,false
66,: Pernyataan Danjen Kopassus Dukung FPI,false
67,Gambar Salib Pada Barang Bantuan Bencana,false
68,AKSI 212 DAPAT PENGHARGAAN REKOR DUNIA,false
69,Foto Petinggi Kepolisian Mengizinkan Demo Neo PKI,false
70,Tulisan Mana teriakan Saya Pancasila mu? Oleh Dr Abdul Muti MEd,false
71,"Petugas Rapid Test Jarang Mengganti Sarung Tangan, Bisa Tularkan Covid-19 dari Pasien Sebelumnya",false
72,Video Dokter Bule,false
73,Vietnam Tidak Ada Korban Meninggal Covid-19 Karena Teh dan Lemon,false
74,Ratusan Warga China yang Menetap di Indonesia Menuju Singapura karena Virus Corona,false
75,Dua orang Terinfeksi Virus Corona Di Parepare,false
76,the Simpsons 1993 memprediksi Corona virus dari China,false
77,Setelah Membakar Al-Quran Jari Tangan Pria Ini Menghitam dan Membusuk Mengeluarkan Bau Menjijikan,false
78,"Marak Lowongan Kerja Mengatasnamakan Perusahaannya, PT Inalum Minta Masyarakat Waspada",false
79,Cara Cepat Cek Jantung Dengan Air dan Es Batu,false
80,Presiden Jokowi Melecehkan Bendera Merah Putih,false
81,Suntingan Video Merry Riana Indonesia Bubar?,false
82,SEMUA YANG BERBAU JAWA DI JAYAPURA HANCUR,false
84,AM HendroPriyono Meninggal Di Singapura,false
86,Bahaya Semut/Kutu Jepang utk DIABETES.,false
87,CNN Indonesia Buat Berita Berjudul SERTIFIKAT GANDA KERJA REZIM JOKOWI,false
88,paham politik gak sih pak?,false
89,Judul Berita Prabowo: Mengaji Tidak Dibutuhkan Dalam Memimpin Negara,false
92,Kalimantan Barat Memanas,false
93,"Tersangka Ujaran Kebencian Dosen USU, Himma Dewiyana, Dibebaskan",false
94,Dedi Mulyadi Menghamili Siswi Mts,false
95,"DI TUDUH CURI MEDALI MILIK BAMBANG PAMUNGKAS, MUHAMMAD YUSUF BUKA SUARA",false
96,Malam Nanti Jam 3:25 Pagi Bulan Akan Mengelilingi Kabah,false
97,PENDAFTARAN PESERTA UJI NYALI MASIH DUNIA LAIN TRANS 7 DI PABRIK MERCON,false
98,"Kartu SIM XL, Indosat, Smarfren, dan Telkomsel Disadap Badan Intelijen AS",false
99,Rombongan Anies-Sandi Ditilang dan Tak Miliki Izin Patwal di Puncak Bogor,false
100,Foto John Kei yang Sudah Disunting,false
103,Pelaku Bom Kampung Melayu adalah Anggota Polisi,false
104,: Pembubabaran Pengajian Ustad Khalid Basalamah Oleh Banser NU,false
105,Foto Helikopter-Tank Pertama di Dunia Buatan Turki dan Pakistan,false
106,Es Krim Merek AICE Bosnya Orang Cina dan Bahannya Kimia Semua,false
107,Video yang menunjukkan anak Muslim yang disiksa oleh Budha di Myanmar,false
108,Foto Kerusuhan Demo Anti Trump di Amerika Serikat,false
109,"bentrok antar ormas Gerakan Jaga Indonesia dengan FPI, LPI dan HTI di Kota Bandung pada 27 Juli 2020",false
110,Video Kecelakaan Maut Di Air Terjun Uluk Til Belu NTT,false
111,Aliran Komunis & Gerakan PKI Bangkit Lewat PDIP,false
112,Gubernur Jakarta Anies Baswedan mendapat penghargaan terbaik di seluruh dunia dalam penanganan COVID-19,false
113,masyarakat New Zealand belajar Wudhu,false
114,Sejumlah Polisi India Telah Tiba Di Indonesia,false
115,Pasukan Tentara Membantu Melawan Virus Corona di New York,false
116,Video KELUYURAN DILUAR RUMAH? DI MALAYSIA DITEMBAK API PAKAI DRONE,false
117,"Antisipasi Corona, Seluruh BUMN DKI Ditutup",false
118,Jokowi Halal Dilengserkan,false
119,"Sandiwara Dagelan koplax, di perskusi sendiri,di viralkan sendiri,di laporkan sendiri, minta maaf dan memaafkan sendiri",false
120,"Beredar Surat Rekrutmen Satpol PP, Kepala Satpol PP dan Damkar Sintang Angkat Bicara",false
121,Ketua KPU Imbau Masyarakat Hormati Hasil Pemilu Walau Banyak Kecurangan,false
122,Universitas Brawijaya dan UMM Bantah Liburkan Perkuliahan karena Ada Aksi Mahasiswa,false
123,Luthfi Abdul Hadi Meminta Maaf kepada Kiai Said Aqil Siroj,false
124,Asosiasi Guru Bahasa dan Sastra Indonesia Kecam Anies Baswedan,false
125,Khoirul Anwar Penemu 4G LTE,false
126,Syukuran Jokowi 2 p,false
127,Video Polisi Tembak Saksi Saat Rekap Pleno KPU,false
129,Masukan Persatuan Tunanetra Indonesia Terkait Braile Surat Suara di Jakarta 80% Salah Semua,false
132,Hasil Scanning Port Bolong,false
133,REKRUTMEN PT PINDAD,false
