waktu,username,title text
2022-06-19 23:59:57+00:00,Yunus05675952,RT @republikaonline: Pemerintah desa dituntut untuk mampu berinovasi.  https://t.co/CuKQI0Q32v
2022-06-19 23:59:44+00:00,syahirkamal35,"RT @SyedAkramin: Orang gila sahaja percaya berita macam ini. Cuba kau tanya rakyat Malaysia di pedalaman Sabah dan Sarawak, sudahkah kawasa…"
2022-06-19 23:59:38+00:00,darilautID,"Indonesia Perjuangkan Kepentingan Nelayan di Sidang WTO, Subsidi Perikanan Ilegal Dihapus https://t.co/iPUOyr9fLc"
2022-06-19 23:59:37+00:00,al_ilo,"RT @satriohendri: Saat Ganjar mencalonkan diri sebagai Gubernur Jawa Tengah, panglima di lapangannya Puan Maharani. Jadi dibantu waktu itu…"
2022-06-19 23:59:32+00:00,DePlankthoon,RT @detikcom: Grace Natalie menegaskan partainya tidak akan mendukung Gubernur DKI Jakarta Anies Baswedan maju sebagai capres pada Pemilu 2…
2022-06-19 23:59:32+00:00,unaluveggtart,"RT @Muzuzxck: Jika kita dengar berita kematian, Islam mengajarkan kita supaya menyebut apa yang baik sahaja tanpa mengaitkan perkara yang t…"
2022-06-19 23:59:31+00:00,mrezzazul,"RT @Mdy_Asmara1701: Pemprov DKI Jakarta mengabadikan nama tokoh legenda Jakarta, Si Pitung menjadi nama jalan. Jalan Raya Kebayoran Lama di…"
2022-06-19 23:59:31+00:00,suriadikusumah,RT @Cintada16: Berita seperti ini yang saat ini sangat dibutuhkan untuk lebuh membangkitkan kembali semangat NKRI🥰🇲🇨 https://t.co/294mnX8P1m
2022-06-19 23:59:26+00:00,feraaani,"RT @ravitho12: Beberapa jam kemudian, gw dikabarin kalo GW DITERIMA.ALHAMDULILLAH, orang pertama yang gw kasih tau itu Ibu gw, Ibu meluk gw…"
2022-06-19 23:59:23+00:00,Ajibur24,"RT @rutan_demak: 58.KAKANWIL A YUSPAHRUDDIN KEMENKUMHAM JATENG: BAHAS OVER STAYING TAHANAN, RUTAN PURWOREJO IKUTI FGD MAHKUMJAKPOL SECARA V…"
2022-06-19 23:59:07+00:00,Penguntit7,"@AmmarTiger2 @gorilazz84 @NgaKorMing Masa DAP jadi kerajaan berapa lebuh raya dijadikan tol-free? 🤣
Nga Kor Hancing

https://t.co/TjpfunY5N1"
2022-06-19 23:59:02+00:00,jubidotcom,Berita Papua // Kapolri diminta berhentikan sementara AKBP Brotoseno https://t.co/8dZ4PNtlEj https://t.co/pKRShleYBa
2022-06-19 23:59:02+00:00,miahhmd,"RT @MMC_IDN2: Kateter Urine Bikin Ribut Dunia Kesehatan | MMC Millenials

Sob-sob, tau berita yang lagi viral itu gak sih. Itu lo berita ma…"
